country,year,rapeseed
Australia,2004,0
Australia,2005,0
Australia,2009,3
Australia,2010,8
Australia,2011,9
Australia,2012,7
Australia,2013,10
Australia,2014,13
Australia,2015,20
Australia,2016,21
Australia,2017,24
Australia,2018,26
Canada,1996,3
Canada,1997,12
Canada,1998,38
Canada,1999,54
Canada,2000,55
Canada,2001,61
Canada,2002,65
Canada,2003,71
Canada,2004,76
Canada,2005,79
Canada,2006,84
Canada,2007,87
Canada,2008,83
Canada,2009,93
Canada,2010,93
Canada,2011,96
Canada,2012,98
Canada,2013,95
Canada,2014,94
Canada,2015,93
Canada,2016,95
Canada,2017,95
Canada,2018,91
United States of America,2006,98
United States of America,2007,91
United States of America,2008,95
United States of America,2009,95
United States of America,2010,88
United States of America,2011,100
United States of America,2012,97
United States of America,2013,93
United States of America,2014,95
United States of America,2015,93
United States of America,2016,90
United States of America,2017,100
United States of America,2018,99
